Name,Zahl,Seitenanzahl,Label (human),Label (LLM)
I Übersicht,,2,,
I Übersicht / Kursübersicht,1,0.5,,
I Übersicht / Kursübersicht / Arbeitsmaterialien,1.1,1,,
I Übersicht / Kursübersicht / Arbeitsmaterialien / Live-Code,1.1.1,1,,
I Übersicht / Kursübersicht / Arbeitsmaterialien / Python-Beispiele,1.1.2,4,,
I Übersicht / Kursübersicht / Arbeitsmaterialien / Live-Code-Alternative (mit Debugging),1.1.3,3,,
I Übersicht / Kursübersicht / Kursrahmen,1.2,1,,
I Übersicht / Kursübersicht / Kursrahmen / Prüfung,1.2.1,1,,
I Übersicht / Kursübersicht / Kursrahmen / Modulhandbuch,1.2.2,1,,
I Übersicht / Kursübersicht / Orientierung,1.3,0.5,,
I Übersicht / Kursübersicht / Orientierung / Softwaretypen,1.3.1,3,,
I Übersicht / Kursübersicht / Orientierung / Softwareentwicklung,1.3.2,1,,
I Übersicht / Kursübersicht / Orientierung / Python,1.3.3,3,,
I Übersicht / Kursübersicht / Orientierung / Lernen einer Programmiersprache,1.3.4,4,,
I Übersicht / Kursübersicht / Programmieren lernen in Zeiten von LLMs,1.4,1,,
I Übersicht / Kursübersicht / Programmieren lernen in Zeiten von LLMs / Wissensarten,1.4.1,0.5,,
I Übersicht / Kursübersicht / Programmieren lernen in Zeiten von LLMs / Kapitelmarker (A/S/V) und *,1.4.2,3,,
I Übersicht / Kursübersicht / Programmieren lernen in Zeiten von LLMs / Einsatz von KI,1.4.3,2,,
I Übersicht / Kursübersicht / Roadmap,1.5,1,,
I Übersicht / Kursübersicht / Roadmap / Kurskonzept,1.5.1,2,,
I Übersicht / Kursübersicht / Roadmap / Praktikum,1.5.2,2,,
II Basiswissen,,2,,
II Basiswissen / Informatik und Software Engineering,2,2,,
II Basiswissen / Informatik und Software Engineering / Computer,2.1,1,,
II Basiswissen / Informatik und Software Engineering / Die Von-Neumann-Architektur,2.2,2,,
II Basiswissen / Informatik und Software Engineering / (Embedded?) Software,2.3,0.5,,
