label_source,metric,part,marker,value
human,pages,II,A,34.0
human,pages,II,S,18.5
human,pages,II,P,7.0
human,pages,II,-,5.5
human,pages,III,A,0.0
human,pages,III,S,16.5
human,pages,III,P,4.0
human,pages,III,-,4.0
human,pages,IV,A,140.0
human,pages,IV,S,33.5
human,pages,IV,P,23.5
human,pages,IV,-,11.5
human,pages,V,A,37.0
human,pages,V,S,0.0
human,pages,V,P,13.5
human,pages,V,-,4.0
human,sections,II,A,7.0
human,sections,II,S,11.0
human,sections,II,P,5.0
human,sections,II,-,4.0
human,sections,III,A,0.0
human,sections,III,S,8.0
human,sections,III,P,2.0
human,sections,III,-,2.0
human,sections,IV,A,65.0
human,sections,IV,S,24.0
human,sections,IV,P,15.0
human,sections,IV,-,11.0
human,sections,V,A,7.0
human,sections,V,S,0.0
human,sections,V,P,8.0
human,sections,V,-,3.0
llm,pages,II,A,15.0
llm,pages,II,S,42.0
llm,pages,II,P,5.0
llm,pages,II,-,3.0
llm,pages,III,A,0.0
llm,pages,III,S,20.5
llm,pages,III,P,0.0
llm,pages,III,-,4.0
llm,pages,IV,A,146.5
llm,pages,IV,S,46.5
llm,pages,IV,P,10.0
llm,pages,IV,-,5.5
llm,pages,V,A,37.0
llm,pages,V,S,0.0
llm,pages,V,P,14.5
llm,pages,V,-,3.0
llm,sections,II,A,3.0
llm,sections,II,S,18.0
llm,sections,II,P,4.0
llm,sections,II,-,2.0
llm,sections,III,A,0.0
llm,sections,III,S,10.0
llm,sections,III,P,0.0
llm,sections,III,-,2.0
llm,sections,IV,A,74.0
llm,sections,IV,S,27.0
llm,sections,IV,P,9.0
llm,sections,IV,-,5.0
llm,sections,V,A,7.0
llm,sections,V,S,0.0
llm,sections,V,P,9.0
llm,sections,V,-,2.0
